Despacho,Orden,Cliente,Distrito,Tecnico,Decos_Series,Repetidores_Series,Fecha_Despacho,Estado_Almacen
DESP-011504,ORD-014345,Diego Garcia Lopez,Pátapo,Cuadrilla Chiclayo Centro - C-01,DEC-347325,REP-642157,2025-10-06,Entregado a Tecnico
DESP-011505,ORD-014346,Sofia Sanchez Vasquez,Túcume,Cuadrilla Ferreñafe - C-05,,REP-916371,2025-10-06,Entregado a Tecnico
DESP-011506,ORD-014347,Maria Sanchez Vasquez,Olmos,Cuadrilla Pimentel / Costa - C-03,DEC-890600,REP-349384,2025-10-07,Entregado a Tecnico
DESP-011507,ORD-014348,Katia Vasquez Garcia,Pueblo Nuevo,Cuadrilla Ferreñafe - C-05,DEC-398677,REP-576873,2025-10-08,Entregado a Tecnico
DESP-011508,ORD-014349,Patricia Mendoza Torres,Monsefú,Cuadrilla Chiclayo Centro - C-01,DEC-250451,"REP-219098, REP-785561",2025-10-08,Entregado a Tecnico
DESP-011509,ORD-014350,Fernando Sanchez Garcia,La Victoria,Cuadrilla Ferreñafe - C-05,DEC-594559,,2025-10-07,Entregado a Tecnico
DESP-011510,ORD-014351,Pedro Vasquez Sanchez,Eten,Cuadrilla Chiclayo Centro - C-01,"DEC-693783, DEC-915224",REP-578370,2025-10-07,Entregado a Tecnico
DESP-011511,ORD-014352,Sofia Lopez Rodriguez,Monsefú,Cuadrilla Lambayeque Norte - C-04,"DEC-512171, DEC-792897","REP-348808, REP-221505",2025-10-07,Entregado a Tecnico
DESP-011512,ORD-014353,Katia Mendoza Perez,Puerto Eten,Cuadrilla Pimentel / Costa - C-03,DEC-219120,,2025-10-07,Entregado a Tecnico
DESP-011513,ORD-014354,Jorge Rojas Mendoza,Monsefú,Cuadrilla Lambayeque Norte - C-04,,REP-142841,2025-10-07,Entregado a Tecnico
DESP-011514,ORD-014355,Maria Lopez Vasquez,Eten,Cuadrilla Ferreñafe - C-05,DEC-685995,"REP-324896, REP-601519",2025-10-08,Entregado a Tecnico
DESP-011515,ORD-014356,Luis Torres Rojas,La Victoria,Cuadrilla Pimentel / Costa - C-03,"DEC-930223, DEC-654750",REP-600974,2025-10-07,Entregado a Tecnico
DESP-011516,ORD-014357,Elena Mendoza Castro,Santa Rosa,Cuadrilla Chiclayo Centro - C-01,"DEC-212231, DEC-228355",REP-289484,2025-10-08,Entregado a Tecnico
DESP-011517,ORD-014358,Ana Vasquez Diaz,Íllimo,Cuadrilla Ferreñafe - C-05,"DEC-611764, DEC-928023",,2025-10-07,Entregado a Tecnico
DESP-011518,ORD-014359,Javier Rojas Flores,Pátapo,Cuadrilla Ferreñafe - C-05,DEC-183729,REP-148722,2025-10-07,Entregado a Tecnico
DESP-011519,ORD-014360,Fiorella Vargas Sanchez,La Victoria,Cuadrilla La Victoria / JLO - C-02,DEC-805966,REP-982977,2025-10-08,Entregado a Tecnico
DESP-011520,ORD-014361,Jorge Gomez Rodriguez,Monsefú,Cuadrilla La Victoria / JLO - C-02,"DEC-799619, DEC-213584","REP-925534, REP-803780",2025-10-08,Entregado a Tecnico
DESP-011521,ORD-014362,Diego Torres Perez,Pimentel,Cuadrilla Lambayeque Norte - C-04,"DEC-680643, DEC-306649",REP-820157,2025-10-08,Entregado a Tecnico
DESP-011522,ORD-014363,Patricia Romero Lopez,José Leonardo Ortiz,Cuadrilla Pimentel / Costa - C-03,"DEC-512641, DEC-915597, DEC-390424",REP-263460,2025-10-08,Entregado a Tecnico
DESP-011523,ORD-014364,Javier Lopez Diaz,Olmos,Cuadrilla Pimentel / Costa - C-03,DEC-418655,,2025-10-08,Entregado a Tecnico
DESP-011524,ORD-014366,Fiorella Mendoza Vargas,Santa Rosa,Cuadrilla Pimentel / Costa - C-03,,,2025-10-08,Entregado a Tecnico
DESP-011525,ORD-014367,Jorge Perez Rojas,Pimentel,Cuadrilla Chiclayo Centro - C-01,DEC-840755,REP-730082,2025-10-08,Entregado a Tecnico
DESP-011526,ORD-014368,Diego Vasquez Vasquez,Pueblo Nuevo,Cuadrilla Ferreñafe - C-05,"DEC-639125, DEC-774614",REP-115208,2025-10-09,Entregado a Tecnico
DESP-011527,ORD-014371,Pedro Castro Perez,Ferreñafe,Cuadrilla Chiclayo Centro - C-01,,"REP-545779, REP-912852",2025-10-08,Entregado a Tecnico
DESP-011528,ORD-014372,Carlos Torres Martinez,José Leonardo Ortiz,Cuadrilla Ferreñafe - C-05,DEC-684602,,2025-10-08,Entregado a Tecnico
DESP-011529,ORD-014373,Patricia Perez Vasquez,Pomalca,Cuadrilla Lambayeque Norte - C-04,DEC-979156,,2025-10-08,Entregado a Tecnico
DESP-011530,ORD-014374,Ana Mendoza Lopez,Pacora,Cuadrilla Chiclayo Centro - C-01,DEC-872325,,2025-10-09,Entregado a Tecnico
DESP-011531,ORD-014375,Diego Garcia Sanchez,Monsefú,Cuadrilla La Victoria / JLO - C-02,DEC-897665,REP-976772,2025-10-08,Entregado a Tecnico
DESP-011532,ORD-014376,Carlos Gomez Torres,Pomalca,Cuadrilla Ferreñafe - C-05,DEC-988299,REP-600856,2025-10-08,Entregado a Tecnico
DESP-011533,ORD-014377,Ana Flores Sanchez,Santa Rosa,Cuadrilla Pimentel / Costa - C-03,DEC-656986,REP-729480,2025-10-08,Entregado a Tecnico
DESP-011534,ORD-014378,Lucia Vasquez Diaz,Pomalca,Cuadrilla Lambayeque Norte - C-04,DEC-568870,REP-420920,2025-10-08,Entregado a Tecnico
DESP-011535,ORD-014379,Fernando Rojas Castro,Reque,Cuadrilla Ferreñafe - C-05,DEC-650847,REP-841233,2025-10-08,Entregado a Tecnico
DESP-011536,ORD-014380,Carmen Vasquez Martinez,Íllimo,Cuadrilla Chiclayo Centro - C-01,DEC-304112,"REP-826257, REP-612571",2025-10-09,Entregado a Tecnico
DESP-011537,ORD-014381,Lucia Diaz Flores,Pátapo,Cuadrilla La Victoria / JLO - C-02,DEC-264794,,2025-10-09,Entregado a Tecnico
DESP-011538,ORD-014382,Carmen Gomez Vasquez,Monsefú,Cuadrilla Ferreñafe - C-05,DEC-324363,REP-542447,2025-10-09,Entregado a Tecnico
DESP-011539,ORD-014385,Elena Perez Flores,Monsefú,Cuadrilla Ferreñafe - C-05,,REP-951438,2025-10-09,Entregado a Tecnico
DESP-011540,ORD-014386,Christian Perez Vargas,Túcume,Cuadrilla La Victoria / JLO - C-02,DEC-882750,"REP-120169, REP-976116",2025-10-10,Entregado a Tecnico
DESP-011541,ORD-014387,Elena Garcia Rojas,Chiclayo,Cuadrilla Pimentel / Costa - C-03,DEC-552037,,2025-10-09,Entregado a Tecnico
DESP-011542,ORD-014388,Christian Mendoza Romero,Puerto Eten,Cuadrilla La Victoria / JLO - C-02,DEC-603045,REP-170244,2025-10-09,Entregado a Tecnico
DESP-011543,ORD-014390,Maria Vargas Perez,Túcume,Cuadrilla Pimentel / Costa - C-03,DEC-967998,REP-965225,2025-10-09,Entregado a Tecnico
DESP-011544,ORD-014391,Katia Vasquez Rojas,Chiclayo,Cuadrilla Pimentel / Costa - C-03,DEC-204596,,2025-10-10,Entregado a Tecnico
DESP-011545,ORD-014392,Pedro Romero Sanchez,Pomalca,Cuadrilla Pimentel / Costa - C-03,DEC-359762,"REP-503150, REP-962594",2025-10-09,Entregado a Tecnico
DESP-011546,ORD-014393,Javier Torres Gomez,Eten,Cuadrilla Ferreñafe - C-05,"DEC-671692, DEC-910991",REP-352306,2025-10-09,Entregado a Tecnico
DESP-011547,ORD-014394,Ana Rojas Rodriguez,Reque,Cuadrilla Pimentel / Costa - C-03,"DEC-888033, DEC-476022, DEC-448474",REP-135540,2025-10-09,Entregado a Tecnico
DESP-011548,ORD-014395,Sofia Gomez Rojas,Pátapo,Cuadrilla Pimentel / Costa - C-03,DEC-289780,REP-448535,2025-10-09,Entregado a Tecnico
DESP-011549,ORD-014396,Manuel Torres Garcia,José Leonardo Ortiz,Cuadrilla La Victoria / JLO - C-02,DEC-162866,,2025-10-10,Entregado a Tecnico
DESP-011550,ORD-014397,Patricia Vasquez Romero,Lambayeque,Cuadrilla Lambayeque Norte - C-04,DEC-680875,,2025-10-10,Entregado a Tecnico
DESP-011551,ORD-014398,Christian Vasquez Diaz,Eten,Cuadrilla Chiclayo Centro - C-01,"DEC-541274, DEC-270658","REP-937499, REP-226151",2025-10-10,Entregado a Tecnico
DESP-011552,ORD-014399,Jose Perez Castro,Pacora,Cuadrilla Pimentel / Costa - C-03,"DEC-645465, DEC-554985",REP-298058,2025-10-10,Entregado a Tecnico
DESP-011553,ORD-014400,Diego Diaz Torres,Pomalca,Cuadrilla Lambayeque Norte - C-04,,,2025-10-10,Entregado a Tecnico
DESP-011554,ORD-014402,Lucia Mendoza Romero,Reque,Cuadrilla Pimentel / Costa - C-03,,REP-350968,2025-10-10,Entregado a Tecnico
DESP-011555,ORD-014403,Jose Castro Perez,La Victoria,Cuadrilla Lambayeque Norte - C-04,DEC-390200,REP-744057,2025-10-10,Entregado a Tecnico
DESP-011556,ORD-014404,Patricia Flores Mendoza,José Leonardo Ortiz,Cuadrilla Pimentel / Costa - C-03,DEC-866804,,2025-10-10,Entregado a Tecnico
DESP-011557,ORD-014407,Fiorella Mendoza Garcia,Manuel Antonio Mesones Muro,Cuadrilla Ferreñafe - C-05,DEC-634087,REP-970813,2025-10-10,Entregado a Tecnico
DESP-011558,ORD-014408,Ana Torres Rojas,Eten,Cuadrilla Chiclayo Centro - C-01,DEC-330674,,2025-10-11,Entregado a Tecnico
DESP-011559,ORD-014409,Lucia Sanchez Romero,Túcume,Cuadrilla Lambayeque Norte - C-04,DEC-476535,,2025-10-10,Entregado a Tecnico
DESP-011560,ORD-014411,Lucia Rodriguez Sanchez,Lambayeque,Cuadrilla Ferreñafe - C-05,DEC-411361,REP-318617,2025-10-10,Entregado a Tecnico
DESP-011561,ORD-014412,Christian Vargas Vargas,Chiclayo,Cuadrilla Pimentel / Costa - C-03,DEC-261145,REP-489704,2025-10-10,Entregado a Tecnico
DESP-011562,ORD-014413,Ana Torres Vargas,Santa Rosa,Cuadrilla Lambayeque Norte - C-04,DEC-455851,REP-131152,2025-10-10,Entregado a Tecnico
DESP-011563,ORD-014415,Carlos Lopez Rodriguez,José Leonardo Ortiz,Cuadrilla Lambayeque Norte - C-04,DEC-548445,"REP-757094, REP-742774",2025-10-11,Entregado a Tecnico
DESP-011564,ORD-014416,Diego Flores Perez,Jayanca,Cuadrilla La Victoria / JLO - C-02,"DEC-756066, DEC-799687",,2025-10-11,Entregado a Tecnico
DESP-011565,ORD-014417,Maria Garcia Vasquez,Pátapo,Cuadrilla Ferreñafe - C-05,DEC-763926,REP-398981,2025-10-11,Entregado a Tecnico
DESP-011566,ORD-014418,Jorge Rojas Rojas,Pitipo,Cuadrilla Lambayeque Norte - C-04,DEC-990325,REP-180606,2025-10-11,Entregado a Tecnico
DESP-011567,ORD-014419,Carmen Vargas Flores,Eten,Cuadrilla Lambayeque Norte - C-04,DEC-784790,REP-690808,2025-10-11,Entregado a Tecnico
DESP-011568,ORD-014420,Carlos Rodriguez Gomez,Túcume,Cuadrilla Ferreñafe - C-05,,,2025-10-11,Entregado a Tecnico
DESP-011569,ORD-014421,Christian Perez Lopez,Santa Rosa,Cuadrilla La Victoria / JLO - C-02,"DEC-415186, DEC-117896","REP-277255, REP-419652",2025-10-11,Entregado a Tecnico
DESP-011570,ORD-014422,Pedro Lopez Perez,José Leonardo Ortiz,Cuadrilla Chiclayo Centro - C-01,DEC-592318,REP-648556,2025-10-12,Entregado a Tecnico
DESP-011571,ORD-014423,Katia Martinez Romero,Pimentel,Cuadrilla Lambayeque Norte - C-04,DEC-813258,"REP-855392, REP-560131",2025-10-11,Entregado a Tecnico
DESP-011572,ORD-014424,Carlos Torres Torres,José Leonardo Ortiz,Cuadrilla La Victoria / JLO - C-02,DEC-591599,REP-987516,2025-10-11,Entregado a Tecnico
DESP-011573,ORD-014425,Jose Perez Vargas,Reque,Cuadrilla Chiclayo Centro - C-01,DEC-313939,,2025-10-11,Entregado a Tecnico
DESP-011574,ORD-014426,Rosa Torres Castro,Pátapo,Cuadrilla Lambayeque Norte - C-04,DEC-320471,,2025-10-12,Entregado a Tecnico
DESP-011575,ORD-014427,Elena Garcia Diaz,Mochumí,Cuadrilla Pimentel / Costa - C-03,DEC-952681,REP-411489,2025-10-11,Entregado a Tecnico
DESP-011576,ORD-014430,Jose Rojas Mendoza,Pimentel,Cuadrilla Chiclayo Centro - C-01,DEC-960099,,2025-10-11,Entregado a Tecnico
DESP-011577,ORD-014431,Fiorella Torres Mendoza,Pátapo,Cuadrilla Pimentel / Costa - C-03,DEC-625314,,2025-10-11,Entregado a Tecnico
DESP-011578,ORD-014432,Christian Rodriguez Flores,La Victoria,Cuadrilla Ferreñafe - C-05,DEC-331174,"REP-136073, REP-298135",2025-10-12,Entregado a Tecnico
DESP-011579,ORD-014433,Lucia Romero Rodriguez,Santa Rosa,Cuadrilla Ferreñafe - C-05,DEC-233849,,2025-10-11,Entregado a Tecnico
DESP-011580,ORD-014434,Ana Rodriguez Torres,Jayanca,Cuadrilla Pimentel / Costa - C-03,DEC-223159,,2025-10-11,Entregado a Tecnico
DESP-011581,ORD-014435,Jorge Romero Vasquez,Reque,Cuadrilla Lambayeque Norte - C-04,"DEC-589166, DEC-495466",,2025-10-12,Entregado a Tecnico
DESP-011582,ORD-014436,Sofia Sanchez Diaz,Chiclayo,Cuadrilla Chiclayo Centro - C-01,"DEC-234449, DEC-553644","REP-454249, REP-251605",2025-10-12,Entregado a Tecnico
DESP-011583,ORD-014437,Rosa Vargas Martinez,Pomalca,Cuadrilla Pimentel / Costa - C-03,"DEC-205501, DEC-140907, DEC-232390",REP-497287,2025-10-12,Entregado a Tecnico
DESP-011584,ORD-014438,Christian Rodriguez Rodriguez,Santa Rosa,Cuadrilla Pimentel / Costa - C-03,,,2025-10-12,Entregado a Tecnico
DESP-011585,ORD-014439,Fiorella Rodriguez Flores,Pimentel,Cuadrilla Pimentel / Costa - C-03,DEC-314925,REP-146628,2025-10-12,Entregado a Tecnico
DESP-011586,ORD-014440,Pedro Martinez Perez,Mochumí,Cuadrilla Lambayeque Norte - C-04,"DEC-594130, DEC-984377, DEC-410538",REP-923435,2025-10-12,Entregado a Tecnico
DESP-011587,ORD-014441,Maria Rojas Gomez,Reque,Cuadrilla Pimentel / Costa - C-03,DEC-632258,,2025-10-12,Entregado a Tecnico
DESP-011588,ORD-014443,Ana Vargas Gomez,La Victoria,Cuadrilla Ferreñafe - C-05,,,2025-10-12,Entregado a Tecnico
DESP-011589,ORD-014444,Lucia Mendoza Garcia,Reque,Cuadrilla Pimentel / Costa - C-03,"DEC-659452, DEC-995660, DEC-371148",,2025-10-12,Entregado a Tecnico
DESP-011590,ORD-014445,Sofia Lopez Perez,Pimentel,Cuadrilla Lambayeque Norte - C-04,"DEC-273641, DEC-508326",REP-116364,2025-10-12,Entregado a Tecnico
DESP-011591,ORD-014446,Patricia Garcia Romero,Pátapo,Cuadrilla La Victoria / JLO - C-02,DEC-332874,REP-750501,2025-10-12,Entregado a Tecnico
DESP-011592,ORD-014447,Luis Rojas Lopez,Eten,Cuadrilla La Victoria / JLO - C-02,DEC-646215,,2025-10-13,Entregado a Tecnico
DESP-011593,ORD-014448,Manuel Torres Rojas,La Victoria,Cuadrilla Chiclayo Centro - C-01,DEC-314053,REP-967552,2025-10-13,Entregado a Tecnico
DESP-011594,ORD-014449,Javier Mendoza Garcia,Túcume,Cuadrilla Chiclayo Centro - C-01,,"REP-994556, REP-332229",2025-10-13,Entregado a Tecnico
DESP-011595,ORD-014450,Katia Rojas Sanchez,Santa Rosa,Cuadrilla Lambayeque Norte - C-04,DEC-312964,,2025-10-14,Entregado a Tecnico
DESP-011596,ORD-014451,Maria Flores Gomez,Santa Rosa,Cuadrilla Ferreñafe - C-05,DEC-628746,"REP-123619, REP-422392",2025-10-13,Entregado a Tecnico
DESP-011597,ORD-014452,Patricia Martinez Mendoza,La Victoria,Cuadrilla Pimentel / Costa - C-03,DEC-604369,"REP-620426, REP-638409",2025-10-14,Entregado a Tecnico
DESP-011598,ORD-014453,Javier Perez Rodriguez,Pimentel,Cuadrilla Ferreñafe - C-05,DEC-957688,,2025-10-13,Entregado a Tecnico
DESP-011599,ORD-014454,Carlos Castro Torres,Reque,Cuadrilla La Victoria / JLO - C-02,"DEC-416168, DEC-134343, DEC-802269",REP-888805,2025-10-13,Entregado a Tecnico
DESP-011600,ORD-014455,Elena Flores Rojas,Pitipo,Cuadrilla Lambayeque Norte - C-04,DEC-660777,,2025-10-13,Entregado a Tecnico
DESP-011601,ORD-014456,Lucia Lopez Martinez,La Victoria,Cuadrilla Ferreñafe - C-05,"DEC-497235, DEC-515083",,2025-10-13,Entregado a Tecnico
DESP-011602,ORD-014457,Carlos Rodriguez Castro,Pomalca,Cuadrilla Ferreñafe - C-05,DEC-436686,REP-315722,2025-10-14,Entregado a Tecnico
DESP-011603,ORD-014458,Fiorella Vargas Sanchez,Chiclayo,Cuadrilla Lambayeque Norte - C-04,DEC-203867,,2025-10-14,Entregado a Tecnico
DESP-011604,ORD-014459,Jorge Garcia Vasquez,Chiclayo,Cuadrilla Chiclayo Centro - C-01,DEC-445067,,2025-10-14,Entregado a Tecnico
DESP-011605,ORD-014461,Elena Rojas Rodriguez,Pátapo,Cuadrilla Pimentel / Costa - C-03,DEC-912896,,2025-10-14,Entregado a Tecnico
DESP-011606,ORD-014462,Ana Perez Sanchez,Lambayeque,Cuadrilla La Victoria / JLO - C-02,DEC-645782,REP-985567,2025-10-14,Entregado a Tecnico
DESP-011607,ORD-014463,Carmen Rodriguez Perez,Reque,Cuadrilla Ferreñafe - C-05,"DEC-472716, DEC-158429",REP-609847,2025-10-14,Entregado a Tecnico
DESP-011608,ORD-014464,Sofia Torres Castro,Eten,Cuadrilla Lambayeque Norte - C-04,DEC-899703,,2025-10-14,Entregado a Tecnico
DESP-011609,ORD-014465,Javier Vasquez Lopez,Puerto Eten,Cuadrilla La Victoria / JLO - C-02,,"REP-973256, REP-469584",2025-10-14,Entregado a Tecnico
DESP-011610,ORD-014468,Maria Lopez Perez,Pueblo Nuevo,Cuadrilla Pimentel / Costa - C-03,DEC-507023,REP-661628,2025-10-14,Entregado a Tecnico
DESP-011611,ORD-014469,Lucia Romero Vasquez,Eten,Cuadrilla Lambayeque Norte - C-04,DEC-896003,REP-204459,2025-10-15,Entregado a Tecnico
DESP-011612,ORD-014470,Patricia Flores Lopez,Motupe,Cuadrilla Pimentel / Costa - C-03,DEC-820901,"REP-721307, REP-848248",2025-10-15,Entregado a Tecnico
DESP-011613,ORD-014471,Fernando Sanchez Flores,Chiclayo,Cuadrilla Lambayeque Norte - C-04,DEC-724782,REP-549028,2025-10-14,Entregado a Tecnico
DESP-011614,ORD-014473,Carmen Vargas Gomez,Santa Rosa,Cuadrilla Lambayeque Norte - C-04,"DEC-504819, DEC-374181",,2025-10-14,Entregado a Tecnico
DESP-011615,ORD-014474,Sofia Torres Rojas,Pueblo Nuevo,Cuadrilla Lambayeque Norte - C-04,DEC-179947,,2025-10-14,Entregado a Tecnico
DESP-011616,ORD-014475,Manuel Torres Martinez,Pomalca,Cuadrilla La Victoria / JLO - C-02,DEC-245929,REP-152607,2025-10-14,Entregado a Tecnico
DESP-011617,ORD-014476,Katia Gomez Rodriguez,Pomalca,Cuadrilla Pimentel / Costa - C-03,DEC-459230,"REP-731934, REP-144318",2025-10-15,Entregado a Tecnico
DESP-011618,ORD-014478,Ana Lopez Mendoza,La Victoria,Cuadrilla La Victoria / JLO - C-02,"DEC-451715, DEC-507305",,2025-10-15,Entregado a Tecnico
DESP-011619,ORD-014479,Carlos Vasquez Flores,Motupe,Cuadrilla Ferreñafe - C-05,DEC-224400,REP-149951,2025-10-15,Entregado a Tecnico
DESP-011620,ORD-014480,Maria Castro Diaz,Chiclayo,Cuadrilla Pimentel / Costa - C-03,DEC-546958,REP-432898,2025-10-15,Entregado a Tecnico
DESP-011621,ORD-014481,Luis Mendoza Mendoza,Chiclayo,Cuadrilla Pimentel / Costa - C-03,"DEC-767827, DEC-500448","REP-284590, REP-704645",2025-10-15,Entregado a Tecnico
DESP-011622,ORD-014483,Patricia Torres Romero,Jayanca,Cuadrilla Ferreñafe - C-05,"DEC-114299, DEC-163745","REP-284192, REP-140525",2025-10-16,Entregado a Tecnico
DESP-011623,ORD-014484,Luis Torres Romero,Pimentel,Cuadrilla Lambayeque Norte - C-04,,"REP-144307, REP-777618",2025-10-15,Entregado a Tecnico
DESP-011624,ORD-014485,Pedro Garcia Lopez,Pimentel,Cuadrilla La Victoria / JLO - C-02,"DEC-175700, DEC-272552, DEC-534604",REP-555832,2025-10-15,Entregado a Tecnico
DESP-011625,ORD-014486,Elena Diaz Perez,Motupe,Cuadrilla Ferreñafe - C-05,DEC-830000,REP-566393,2025-10-15,Entregado a Tecnico
DESP-011626,ORD-014488,Carmen Garcia Mendoza,Reque,Cuadrilla Lambayeque Norte - C-04,DEC-665999,"REP-210008, REP-970298",2025-10-15,Entregado a Tecnico
DESP-011627,ORD-014489,Lucia Gomez Rojas,Pátapo,Cuadrilla Ferreñafe - C-05,"DEC-552212, DEC-515422",REP-174490,2025-10-16,Entregado a Tecnico
DESP-011628,ORD-014491,Carlos Castro Lopez,Pimentel,Cuadrilla Ferreñafe - C-05,"DEC-740064, DEC-503656, DEC-550578",REP-519290,2025-10-16,Entregado a Tecnico
DESP-011629,ORD-014492,Carlos Garcia Romero,Monsefú,Cuadrilla Pimentel / Costa - C-03,DEC-292623,,2025-10-15,Entregado a Tecnico
DESP-011630,ORD-014493,Ana Mendoza Rojas,Pátapo,Cuadrilla Lambayeque Norte - C-04,,,2025-10-16,Entregado a Tecnico
DESP-011631,ORD-014494,Fiorella Vargas Martinez,Lambayeque,Cuadrilla Pimentel / Costa - C-03,,REP-485199,2025-10-16,Entregado a Tecnico
DESP-011632,ORD-014495,Jorge Rodriguez Romero,José Leonardo Ortiz,Cuadrilla La Victoria / JLO - C-02,"DEC-126515, DEC-389195, DEC-321783",REP-225697,2025-10-16,Entregado a Tecnico
DESP-011633,ORD-014496,Carlos Castro Vargas,Pomalca,Cuadrilla Chiclayo Centro - C-01,,"REP-693806, REP-945072",2025-10-16,Entregado a Tecnico
DESP-011634,ORD-014497,Lucia Vargas Castro,Monsefú,Cuadrilla Pimentel / Costa - C-03,"DEC-715615, DEC-809934",,2025-10-16,Entregado a Tecnico
DESP-011635,ORD-014498,Fiorella Vasquez Vargas,Olmos,Cuadrilla Chiclayo Centro - C-01,DEC-768021,,2025-10-16,Entregado a Tecnico
DESP-011636,ORD-014500,Elena Lopez Lopez,Pimentel,Cuadrilla Chiclayo Centro - C-01,,REP-749187,2025-10-16,Entregado a Tecnico
DESP-011637,ORD-014501,Carmen Lopez Vasquez,Ferreñafe,Cuadrilla Lambayeque Norte - C-04,"DEC-739443, DEC-992719, DEC-845536",REP-541082,2025-10-17,Entregado a Tecnico
DESP-011638,ORD-014503,Luis Rodriguez Lopez,Reque,Cuadrilla Lambayeque Norte - C-04,"DEC-180244, DEC-473316",,2025-10-17,Entregado a Tecnico
DESP-011639,ORD-014505,Jose Mendoza Diaz,Pimentel,Cuadrilla Chiclayo Centro - C-01,DEC-759282,REP-640921,2025-10-16,Entregado a Tecnico
DESP-011640,ORD-014506,Patricia Perez Mendoza,Pimentel,Cuadrilla Chiclayo Centro - C-01,DEC-735450,,2025-10-17,Entregado a Tecnico
DESP-011641,ORD-014508,Ana Garcia Garcia,Íllimo,Cuadrilla Chiclayo Centro - C-01,DEC-398393,,2025-10-17,Entregado a Tecnico
DESP-011642,ORD-014509,Maria Diaz Mendoza,Puerto Eten,Cuadrilla Pimentel / Costa - C-03,DEC-394456,,2025-10-17,Entregado a Tecnico
DESP-011643,ORD-014510,Jose Vasquez Flores,José Leonardo Ortiz,Cuadrilla Ferreñafe - C-05,DEC-810517,,2025-10-17,Entregado a Tecnico
DESP-011644,ORD-014511,Carlos Romero Diaz,Monsefú,Cuadrilla Lambayeque Norte - C-04,DEC-439140,,2025-10-17,Entregado a Tecnico
DESP-011645,ORD-014512,Patricia Gomez Castro,Ferreñafe,Cuadrilla Lambayeque Norte - C-04,DEC-826402,"REP-248626, REP-978396",2025-10-17,Entregado a Tecnico
DESP-011646,ORD-014513,Rosa Mendoza Gomez,Eten,Cuadrilla Lambayeque Norte - C-04,DEC-909054,"REP-476721, REP-131950",2025-10-17,Entregado a Tecnico
DESP-011647,ORD-014515,Carmen Gomez Flores,Pitipo,Cuadrilla Lambayeque Norte - C-04,DEC-972296,,2025-10-17,Entregado a Tecnico
DESP-011648,ORD-014516,Manuel Rodriguez Romero,La Victoria,Cuadrilla Ferreñafe - C-05,,REP-748397,2025-10-17,Entregado a Tecnico
DESP-011649,ORD-014519,Katia Perez Perez,Pomalca,Cuadrilla La Victoria / JLO - C-02,,,2025-10-18,Entregado a Tecnico
DESP-011650,ORD-014520,Fiorella Rojas Vargas,Monsefú,Cuadrilla Ferreñafe - C-05,DEC-111212,REP-803368,2025-10-18,Entregado a Tecnico
DESP-011651,ORD-014521,Diego Lopez Torres,Pátapo,Cuadrilla Chiclayo Centro - C-01,,,2025-10-18,Entregado a Tecnico
DESP-011652,ORD-014522,Lucia Torres Garcia,Pomalca,Cuadrilla Lambayeque Norte - C-04,"DEC-539057, DEC-529699",REP-328370,2025-10-18,Entregado a Tecnico
DESP-011653,ORD-014523,Jose Diaz Lopez,Pueblo Nuevo,Cuadrilla La Victoria / JLO - C-02,,,2025-10-18,Entregado a Tecnico
DESP-011654,ORD-014524,Diego Gomez Sanchez,Puerto Eten,Cuadrilla Lambayeque Norte - C-04,"DEC-781733, DEC-536666",REP-601216,2025-10-18,Entregado a Tecnico
DESP-011655,ORD-014526,Fiorella Mendoza Lopez,Túcume,Cuadrilla Chiclayo Centro - C-01,DEC-840962,REP-246156,2025-10-18,Entregado a Tecnico
DESP-011656,ORD-014527,Rosa Vasquez Romero,Pátapo,Cuadrilla Chiclayo Centro - C-01,DEC-452791,,2025-10-19,Entregado a Tecnico
DESP-011657,ORD-014528,Luis Sanchez Mendoza,José Leonardo Ortiz,Cuadrilla La Victoria / JLO - C-02,,,2025-10-19,Entregado a Tecnico
DESP-011658,ORD-014530,Fernando Garcia Vargas,Pimentel,Cuadrilla Pimentel / Costa - C-03,DEC-537188,REP-774495,2025-10-19,Entregado a Tecnico
DESP-011659,ORD-014531,Rosa Diaz Rojas,Mochumí,Cuadrilla Chiclayo Centro - C-01,DEC-466491,REP-903237,2025-10-20,Entregado a Tecnico
DESP-011660,ORD-014532,Rosa Rojas Vargas,La Victoria,Cuadrilla Chiclayo Centro - C-01,DEC-978719,,2025-10-19,Entregado a Tecnico
DESP-011661,ORD-014534,Luis Perez Rojas,Reque,Cuadrilla La Victoria / JLO - C-02,,"REP-957333, REP-843439",2025-10-20,Entregado a Tecnico
DESP-011662,ORD-014535,Fiorella Torres Perez,Olmos,Cuadrilla Pimentel / Costa - C-03,DEC-798069,REP-613294,2025-10-19,Entregado a Tecnico
DESP-011663,ORD-014536,Jorge Rodriguez Rojas,Monsefú,Cuadrilla Ferreñafe - C-05,DEC-539466,REP-761552,2025-10-19,Entregado a Tecnico
DESP-011664,ORD-014537,Fiorella Diaz Castro,Jayanca,Cuadrilla Chiclayo Centro - C-01,DEC-326112,REP-500029,2025-10-19,Entregado a Tecnico
DESP-011665,ORD-014538,Fernando Vargas Romero,Jayanca,Cuadrilla Chiclayo Centro - C-01,,"REP-660204, REP-154102",2025-10-20,Entregado a Tecnico
DESP-011666,ORD-014539,Javier Vasquez Torres,Pacora,Cuadrilla La Victoria / JLO - C-02,DEC-842995,,2025-10-20,Entregado a Tecnico
